Matilde Rubio Bonilla,953008920
Sr. Rubén Cruz Villarreal,925-124-891
Juan Ramón Baeza Pedroza,929023886
María de los Ángeles Velasco Pedraza,905 315 623
Jordi Domínguez Henríquez,995.943.364
Ana Duarte Narváez,910 433 605
Pío Fonseca Girón,989-007-158
Salvador Negrete Garay,946873210
Ana Guevara Barrientos,949 609 833
Jorge Salcido Hidalgo,988 507 913
Jennifer Ruelas Caldera,937.055.668
Josep Jiménez Rangel,924.542.521
Anni Anguiano Molina,990985501
Andrea Solorio Granados,901.587.109
María de los Ángeles Tamayo Rivas,928.459.732
Matilde Espinosa de los Monteros Cordero,988-211-096
Laura Badillo Zamudio,960 431 653
Maica Lozano González,909-584-319
Marta Ornelas Melgar,906.565.078
Josep Robledo Rodríguez,983-358-246
Josep Marroquín Nazario,943332899
Marta Márquez León,952310340
Lorena Olivas Quezada,900363651
Marta Carbajal Garibay,905213709
Ana Casares Hurtado,951811895
Sr. Jordi Miramontes Mejía,971.260.951
María de los Ángeles Roldán Pedraza,905 727 349
Ana Lugo Chavarría,945-869-023
Rubén Leal Menchaca,943-534-965
Hermenegildo Vázquez Ayala,914423271
Maica Calvillo Jurado,940 297 924
Matilde Llamas Delafuente,921.604.727
Sr. Ángel Rosales Arroyo,954 481 530
Daniel Pacheco Rolón,920-801-988
Lorena Nieto Razo,935-395-748
Jordi Curiel Batista,932 536 985
Andrea Grijalva Delacrúz,972-042-622
Marta Preciado Sánchez,914.691.363
Andrea Castellanos Solorzano,938530660
Ángel Perales Rincón,946469023
Anni Zamora Herrera,995 897 876
Daniel Deleón Villaseñor,937.369.821
Jorge Cazares Márquez,900.584.204
Ana Durán Bahena,922901409
Manuel Almaráz Casas,983 628 234
Hermenegildo Cortéz Arreola,968992158
Josep Segura Cardona,941 835 806
Jennifer Tamez Esparza,915575683
Ángel Zamora Maldonado,912.917.739
Ricardo Cavazos Olvera,994014165
Rubén Molina Toledo,956675630
Jennifer Zaragoza Sáenz,978 154 993
María de los Ángeles Matías Raya,927-281-189
Ana Jaimes Tello,939 718 496
Carles Rico Guajardo,904-182-502
María de los Ángeles Jáquez Mojica,912.143.479
